Mnemonic            Summary
CMPSS            Compare Scalar Single Precision Floating-Point Value
CMPSW            Compare String Operands
CMPXCHG          Compare and Exchange
CMPXCHG16B       Compare and Exchange Bytes
CMPXCHG8B        Compare and Exchange Bytes
COMISD           Compare Scalar Ordered Double Precision Floating-Point Values and Set EFLAGS
COMISS           Compare Scalar Ordered Single Precision Floating-Point Values and Set EFLAGS
CPUID            CPU Identification
CQO              Convert Word to Doubleword/Convert Doubleword to Quadword
CRC32            Accumulate CRC32 Value
CVTDQ2PD         Convert Packed Doubleword Integers to Packed Double Precision Floating-PointValues
CVTDQ2PS         Convert Packed Doubleword Integers to Packed Single Precision Floating-PointValues
CVTPD2DQ         Convert Packed Double Precision Floating-Point Values to Packed DoublewordIntegers
CVTPD2PI         Convert Packed Double Precision Floating-Point Values to Packed Dword Integers
CVTPD2PS         Convert Packed Double Precision Floating-Point Values to Packed Single PrecisionFloating-Point Values
CVTPI2PD         Convert Packed Dword Integers to Packed Double Precision Floating-Point Values
CVTPI2PS         Convert Packed Dword Integers to Packed Single Precision Floating-Point Values
CVTPS2DQ         Convert Packed Single Precision Floating-Point Values to Packed SignedDoubleword Integer Values
CVTPS2PD         Convert Packed Single Precision Floating-Point Values to Packed Double PrecisionFloating-Point Values
CVTPS2PI         Convert Packed Single Precision Floating-Point Values to Packed Dword Integers
CVTSD2SI         Convert Scalar Double Precision Floating-Point Value to Doubleword Integer
CVTSD2SS         Convert Scalar Double Precision Floating-Point Value to Scalar Single PrecisionFloating-Point Value
CVTSI2SD         Convert Doubleword Integer to Scalar Double Precision Floating-Point Value
CVTSI2SS         Convert Doubleword Integer to Scalar Single Precision Floating-Point Value
CVTSS2SD         Convert Scalar Single Precision Floating-Point Value to Scalar Double PrecisionFloating-Point Value
CVTSS2SI         Convert Scalar Single Precision Floating-Point Value to Doubleword Integer
CVTTPD2DQ        Convert with Truncation Packed Double Precision Floating-Point Values toPacked Doubleword Integers
CVTTPD2PI        Convert With Truncation Packed Double Precision Floating-Point Values to PackedDword Integers
CVTTPS2DQ        Convert With Truncation Packed Single Precision Floating-Point Values to PackedSigned Doubleword Integer Values
CVTTPS2PI        Convert With Truncation Packed Single Precision Floating-Point Values to PackedDword Integers
CVTTSD2SI        Convert With Truncation Scalar Double Precision Floating-Point Value to SignedInteger
CVTTSS2SI        Convert With Truncation Scalar Single Precision Floating-Point Value to Integer
CWD              Convert Word to Doubleword/Convert Doubleword to Quadword
CWDE             Convert Byte to Word/Convert Word to Doubleword/Convert Doubleword toQuadword
DAA              Decimal Adjust AL After Addition
DAS              Decimal Adjust AL After Subtraction
DEC              Decrement by 1
DIV              Unsigned Divide
DIVPD            Divide Packed Double Precision Floating-Point Values
DIVPS            Divide Packed Single Precision Floating-Point Values
DIVSD            Divide Scalar Double Precision Floating-Point Value
DIVSS            Divide Scalar Single Precision Floating-Point Values
DPPD             Dot Product of Packed Double Precision Floating-Point Values
DPPS             Dot Product of Packed Single Precision Floating-Point Values
EMMS             Empty MMX Technology State
ENCODEKEY128     Encode 128-Bit Key With Key Locker
ENCODEKEY256     Encode 256-Bit Key With Key Locker
ENDBR32          Terminate an Indirect Branch in 32-bit and Compatibility Mode
ENDBR64          Terminate an Indirect Branch in 64-bit Mode
ENQCMD           Enqueue Command
ENQCMDS          Enqueue Command Supervisor
ENTER            Make Stack Frame for Procedure Parameters
EXTRACTPS        Extract Packed Floating-Point Values
F2XM1            Compute 2x–1
FABS             Absolute Value
FADD             Add
FADDP            Add
FBLD             Load Binary Coded Decimal
FBSTP            Store BCD Integer and Pop
FCHS             Change Sign
FCLEX            Clear Exceptions
FCMOVcc          Floating-Point Conditional Move
FCOM             Compare Floating-Point Values
FCOMI            Compare Floating-Point Values and Set EFLAGS
FCOMIP           Compare Floating-Point Values and Set EFLAGS
FCOMP            Compare Floating-Point Values
FCOMPP           Compare Floating-Point Values
FCOS             Cosine
FDECSTP          Decrement Stack-Top Pointer
FDIV             Divide
FDIVP            Divide
FDIVR            Reverse Divide
FDIVRP           Reverse Divide
FFREE            Free Floating-Point Register
FIADD            Add
FICOM            Compare Integer
FICOMP           Compare Integer
FIDIV            Divide
FIDIVR           Reverse Divide
FILD             Load Integer
FIMUL            Multiply
FINCSTP          Increment Stack-Top Pointer
FINIT            Initialize Floating-Point Unit
FIST             Store Integer
FISTP            Store Integer
FISTTP           Store Integer With Truncation
FISUB            Subtract
FISUBR           Reverse Subtract
FLD              Load Floating-Point Value
FLD1             Load Constant
FLDCW            Load x87 FPU Control Word
FLDENV           Load x87 FPU Environment
FLDL2E           Load Constant
FLDL2T           Load Constant
FLDLG2           Load Constant
FLDLN2           Load Constant
FLDPI            Load Constant
FLDZ             Load Constant
FMUL             Multiply
FMULP            Multiply
FNCLEX           Clear Exceptions
FNINIT           Initialize Floating-Point Unit
FNOP             No Operation
FNSAVE           Store x87 FPU State
FNSTCW           Store x87 FPU Control Word
FNSTENV          Store x87 FPU Environment
FNSTSW           Store x87 FPU Status Word
FPATAN           Partial Arctangent
FPREM            Partial Remainder
FPREM1           Partial Remainder
FPTAN            Partial Tangent
FRNDINT          Round to Integer
FRSTOR           Restore x87 FPU State
FSAVE            Store x87 FPU State
FSCALE           Scale
FSIN             Sine
FSINCOS          Sine and Cosine
FSQRT            Square Root
FST              Store Floating-Point Value
FSTCW            Store x87 FPU Control Word
FSTENV           Store x87 FPU Environment
FSTP             Store Floating-Point Value
FSTSW            Store x87 FPU Status Word
FSUB             Subtract
FSUBP            Subtract
FSUBR            Reverse Subtract
FSUBRP           Reverse Subtract
FTST             TEST
FUCOM            Unordered Compare Floating-Point Values
FUCOMI           Compare Floating-Point Values and Set EFLAGS
FUCOMIP          Compare Floating-Point Values and Set EFLAGS
FUCOMP           Unordered Compare Floating-Point Values
FUCOMPP          Unordered Compare Floating-Point Values
FWAIT            Wait
FXAM             Examine Floating-Point
FXCH             Exchange Register Contents
FXRSTOR          Restore x87 FPU, MMX, XMM, and MXCSR State
FXSAVE           Save x87 FPU, MMX Technology, and SSE State
FXTRACT          Extract Exponent and Significand
FYL2X            Compute y ∗ log2x
FYL2XP1          Compute y ∗ log2(x +1)
GF2P8AFF         INEINVQB    Galois Field Affine Transformation Inverse
GF2P8AFF         INEQB    Galois Field Affine Transformation
GF2P8MUL         B Galois Field Multiply Bytes
HADDPD           Packed Double Precision Floating-Point Horizontal Add
HADDPS           Packed Single Precision Floating-Point Horizontal Add
HLT              Halt
HRESET           History Reset
HSUBPD           Packed Double Precision Floating-Point Horizontal Subtract
HSUBPS           Packed Single Precision Floating-Point Horizontal Subtract
IDIV             Signed Divide
IMUL             Signed Multiply
IN               Input From Port
INC              Increment by 1
INCSSPD          Increment Shadow Stack Pointer
INCSSPQ          Increment Shadow Stack Pointer
INS              Input from Port to String
INSB             Input from Port to String
INSD             Input from Port to String
INSERTPS         Insert Scalar Single Precision Floating-Point Value
INSW             Input from Port to String
INT n            Call to Interrupt Procedure
INT1             Call to Interrupt Procedure
INT3             Call to Interrupt Procedure
INTO             Call to Interrupt Procedure
INVD             Invalidate Internal Caches
INVLPG           Invalidate TLB Entries
INVPCID          Invalidate Process-Context Identifier
IRET             Interrupt Return
IRETD            Interrupt Return
IRETQ            Interrupt Return
JMP              Jump
Jcc              Jump if Condition Is Met
KADDB            ADD Two Masks
KADDD            ADD Two Masks
KADDQ            ADD Two Masks
KADDW            ADD Two Masks
KANDB            Bitwise Logical AND Masks
KANDD            Bitwise Logical AND Masks
KANDNB           Bitwise Logical AND NOT Masks
KANDND           Bitwise Logical AND NOT Masks
KANDNQ           Bitwise Logical AND NOT Masks
KANDNW           Bitwise Logical AND NOT Masks
KANDQ            Bitwise Logical AND Masks
KANDW            Bitwise Logical AND Masks
KMOVB            Move From and to Mask Registers
KMOVD            Move From and to Mask Registers
KMOVQ            Move From and to Mask Registers
KMOVW            Move From and to Mask Registers
KNOTB            NOT Mask Register
KNOTD            NOT Mask Register
KNOTQ            NOT Mask Register
KNOTW            NOT Mask Register
KORB             Bitwise Logical OR Masks
KORD             Bitwise Logical OR Masks
KORQ             Bitwise Logical OR Masks
KORTESTB         OR Masks and Set Flags
KORTESTD         OR Masks and Set Flags
KORTESTQ         OR Masks and Set Flags
KORTESTW         OR Masks and Set Flags
KORW             Bitwise Logical OR Masks
KSHIFTLB         Shift Left Mask Registers
KSHIFTLD         Shift Left Mask Registers
KSHIFTLQ         Shift Left Mask Registers
KSHIFTLW         Shift Left Mask Registers
KSHIFTRB         Shift Right Mask Registers
KSHIFTRD         Shift Right Mask Registers
KSHIFTRQ         Shift Right Mask Registers
KSHIFTRW         Shift Right Mask Registers
KTESTB           Packed Bit Test Masks and Set Flags
KTESTD           Packed Bit Test Masks and Set Flags
KTESTQ           Packed Bit Test Masks and Set Flags
KTESTW           Packed Bit Test Masks and Set Flags
KUNPCKBW         Unpack for Mask Registers
KUNPCKDQ         Unpack for Mask Registers
KUNPCKWD         Unpack for Mask Registers
KXNORB           Bitwise Logical XNOR Masks
KXNORD           Bitwise Logical XNOR Masks
KXNORQ           Bitwise Logical XNOR Masks
KXNORW           Bitwise Logical XNOR Masks
KXORB            Bitwise Logical XOR Masks
KXORD            Bitwise Logical XOR Masks
KXORQ            Bitwise Logical XOR Masks
KXORW            Bitwise Logical XOR Masks
LAHF             Load Status Flags Into AH Register
LAR              Load Access Rights Byte
LDDQU            Load Unaligned Integer 128 Bits
LDMXCSR          Load MXCSR Register
LDS              Load Far Pointer
LDTILECFG        Load Tile Configuration
LEA              Load Effective Address
LEAVE            High Level Procedure Exit
LES              Load Far Pointer
LFENCE           Load Fence
LFS              Load Far Pointer
LGDT             Load Global/Interrupt Descriptor Table Register
LGS              Load Far Pointer
LIDT             Load Global/Interrupt Descriptor Table Register
LLDT             Load Local Descriptor Table Register
LMSW             Load Machine Status Word
LOADIWKEY        Load Internal Wrapping Key With Key Locker
LOCK             Assert LOCK# Signal Prefix
LODS             Load String
LODSB            Load String
LODSD            Load String
LODSQ            Load String
LODSW            Load String
LOOP             Loop According to ECX Counter
LOOPcc           Loop According to ECX Counter
LSL              Load Segment Limit
LSS              Load Far Pointer
LTR              Load Task Register
LZCNT            Count the Number of Leading Zero Bits
MASKMOVDQU       Store Selected Bytes of Double Quadword
MASKMOVQ         Store Selected Bytes of Quadword
MAXPD            Maximum of Packed Double Precision Floating-Point Values
MAXPS            Maximum of Packed Single Precision Floating-Point Values
MAXSD            Return Maximum Scalar Double Precision Floating-Point Value
MAXSS            Return Maximum Scalar Single Precision Floating-Point Value
MFENCE           Memory Fence
MINPD            Minimum of Packed Double Precision Floating-Point Values
MINPS            Minimum of Packed Single Precision Floating-Point Values
MINSD            Return Minimum Scalar Double Precision Floating-Point Value
MINSS            Return Minimum Scalar Single Precision Floating-Point Value
MONITOR          Set Up Monitor Address
MOV              Move
MOV (1)          Move to/from Control Registers
MOV (2)          Move to/from Debug Registers
MOVAPD           Move Aligned Packed Double Precision Floating-Point Values
MOVAPS           Move Aligned Packed Single Precision Floating-Point Values
MOVBE            Move Data After Swapping Bytes
MOVD             Move Doubleword/Move Quadword
MOVDDUP          Replicate Double Precision Floating-Point Values
MOVDIR64B        Move 64 Bytes as Direct Store
MOVDIRI          Move Doubleword as Direct Store
MOVDQ2Q          Move Quadword from XMM to MMX Technology Register
MOVDQA           Move Aligned Packed Integer Values
MOVDQU           Move Unaligned Packed Integer Values
MOVHLPS          Move Packed Single Precision Floating-Point Values High to Low
MOVHPD           Move High Packed Double Precision Floating-Point Value
MOVHPS           Move High Packed Single Precision Floating-Point Values
MOVLHPS          Move Packed Single Precision Floating-Point Values Low to High
MOVLPD           Move Low Packed Double Precision Floating-Point Value
MOVLPS           Move Low Packed Single Precision Floating-Point Values
MOVMSKPD         Extract Packed Double Precision Floating-Point Sign Mask
MOVMSKPS         Extract Packed Single Precision Floating-Point Sign Mask
MOVNTDQ          Store Packed Integers Using Non-Temporal Hint
MOVNTDQA         Load Double Quadword Non-Temporal Aligned Hint
MOVNTI           Store Doubleword Using Non-Temporal Hint
MOVNTPD          Store Packed Double Precision Floating-Point Values Using Non-Temporal Hint
MOVNTPS          Store Packed Single Precision Floating-Point Values Using Non-Temporal Hint
MOVNTQ           Store of Quadword Using Non-Temporal Hint
MOVQ             Move Doubleword/Move Quadword
MOVQ (1)         Move Quadword
MOVQ2DQ          Move Quadword from MMX Technology to XMM Register
MOVS             Move Data From String to String
MOVSB            Move Data From String to String
MOVSD            Move Data From String to String
MOVSD (1)        Move or Merge Scalar Double Precision Floating-Point Value
MOVSHDUP         Replicate Single Precision Floating-Point Values
MOVSLDUP         Replicate Single Precision Floating-Point Values
MOVSQ            Move Data From String to String
MOVSS            Move or Merge Scalar Single Precision Floating-Point Value
MOVSW            Move Data From String to String
MOVSX            Move With Sign-Extension
MOVSXD           Move With Sign-Extension
MOVUPD           Move Unaligned Packed Double Precision Floating-Point Values
MOVUPS           Move Unaligned Packed Single Precision Floating-Point Values
MOVZX            Move With Zero-Extend
MPSADBW          Compute Multiple Packed Sums of Absolute Difference
MUL              Unsigned Multiply
MULPD            Multiply Packed Double Precision Floating-Point Values
MULPS            Multiply Packed Single Precision Floating-Point Values
MULSD            Multiply Scalar Double Precision Floating-Point Value
MULSS            Multiply Scalar Single Precision Floating-Point Values
MULX             Unsigned Multiply Without Affecting Flags
MWAIT            Monitor Wait
NEG              Two's Complement Negation
NOP              No Operation
NOT              One's Complement Negation
OR               Logical Inclusive OR
ORPD             Bitwise Logical OR of Packed Double Precision Floating-Point Values
ORPS             Bitwise Logical OR of Packed Single Precision Floating-Point Values
OUT              Output to Port
OUTS             Output String to Port
OUTSB            Output String to Port
OUTSD            Output String to Port
OUTSW            Output String to Port
PABSB            Packed Absolute Value
PABSD            Packed Absolute Value
PABSQ            Packed Absolute Value
PABSW            Packed Absolute Value
PACKSSDW         Pack With Signed Saturation
PACKSSWB         Pack With Signed Saturation
PACKUSDW         Pack With Unsigned Saturation
PACKUSWB         Pack With Unsigned Saturation
PADDB            Add Packed Integers
PADDD            Add Packed Integers
PADDQ            Add Packed Integers
PADDSB           Add Packed Signed Integers with Signed Saturation
PADDSW           Add Packed Signed Integers with Signed Saturation
PADDUSB          Add Packed Unsigned Integers With Unsigned Saturation
PADDUSW          Add Packed Unsigned Integers With Unsigned Saturation
PADDW            Add Packed Integers
PALIGNR          Packed Align Right
PAND             Logical AND
PANDN            Logical AND NOT
PAUSE            Spin Loop Hint
PAVGB            Average Packed Integers
PAVGW            Average Packed Integers
PBLENDVB         Variable Blend Packed Bytes
PBLENDW          Blend Packed Words
PCLMULQDQ        Carry-Less Multiplication Quadword
PCMPEQB          Compare Packed Data for Equal
PCMPEQD          Compare Packed Data for Equal
PCMPEQQ          Compare Packed Qword Data for Equal
PCMPEQW          Compare Packed Data for Equal
PCMPESTRI        Packed Compare Explicit Length Strings, Return Index
PCMPESTRM        Packed Compare Explicit Length Strings, Return Mask
PCMPGTB          Compare Packed Signed Integers for Greater Than
PCMPGTD          Compare Packed Signed Integers for Greater Than
PCMPGTQ          Compare Packed Data for Greater Than
PCMPGTW          Compare Packed Signed Integers for Greater Than
PCMPISTRI        Packed Compare Implicit Length Strings, Return Index
PCMPISTRM        Packed Compare Implicit Length Strings, Return Mask
PCONFIG          Platform Configuration
PDEP             Parallel Bits Deposit
PEXT             Parallel Bits Extract
PEXTRB           Extract Byte/Dword/Qword
PEXTRD           Extract Byte/Dword/Qword
PEXTRQ           Extract Byte/Dword/Qword
PEXTRW           Extract Word
PHADDD           Packed Horizontal Add
PHADDSW          Packed Horizontal Add and Saturate
PHADDW           Packed Horizontal Add
PHMINPOSUW       Packed Horizontal Word Minimum
PHSUBD           Packed Horizontal Subtract
PHSUBSW          Packed Horizontal Subtract and Saturate
PHSUBW           Packed Horizontal Subtract
PINSRB           Insert Byte/Dword/Qword
PINSRD           Insert Byte/Dword/Qword
PINSRQ           Insert Byte/Dword/Qword
PINSRW           Insert Word
PMADDUBSW        Multiply and Add Packed Signed and Unsigned Bytes
PMADDWD          Multiply and Add Packed Integers
PMAXSB           Maximum of Packed Signed Integers
PMAXSD           Maximum of Packed Signed Integers
PMAXSQ           Maximum of Packed Signed Integers
PMAXSW           Maximum of Packed Signed Integers
PMAXUB           Maximum of Packed Unsigned Integers
PMAXUD           Maximum of Packed Unsigned Integers
PMAXUQ           Maximum of Packed Unsigned Integers
PMAXUW           Maximum of Packed Unsigned Integers
PMINSB           Minimum of Packed Signed Integers
PMINSD           Minimum of Packed Signed Integers
PMINSQ           Minimum of Packed Signed Integers
PMINSW           Minimum of Packed Signed Integers
PMINUB           Minimum of Packed Unsigned Integers
PMINUD           Minimum of Packed Unsigned Integers
PMINUQ           Minimum of Packed Unsigned Integers
PMINUW           Minimum of Packed Unsigned Integers
PMOVMSKB         Move Byte Mask
PMOVSX           Packed Move With Sign Extend
PMOVZX           Packed Move With Zero Extend
PMULDQ           Multiply Packed Doubleword Integers
PMULHRSW         Packed Multiply High With Round and Scale
PMULHUW          Multiply Packed Unsigned Integers and Store High Result
PMULHW           Multiply Packed Signed Integers and Store High Result
PMULLD           Multiply Packed Integers and Store Low Result
PMULLQ           Multiply Packed Integers and Store Low Result
PMULLW           Multiply Packed Signed Integers and Store Low Result
PMULUDQ          Multiply Packed Unsigned Doubleword Integers
POP              Pop a Value From the Stack
POPA             Pop All General-Purpose Registers
POPAD            Pop All General-Purpose Registers
POPCNT           Return the Count of Number of Bits Set to 1
POPF             Pop Stack Into EFLAGS Register
POPFD            Pop Stack Into EFLAGS Register
POPFQ            Pop Stack Into EFLAGS Register
POR              Bitwise Logical OR
PREFETCHW    Prefetch Data Into Caches in Anticipation of a Write
PREFETCHh    Prefetch Data Into Caches
PSADBW    Compute Sum of Absolute Differences
PSHUFB    Packed Shuffle Bytes
PSHUFD    Shuffle Packed Doublewords
PSHUFHW    Shuffle Packed High Words
PSHUFLW    Shuffle Packed Low Words
PSHUFW    Shuffle Packed Words
PSIGNB    Packed SIGN
PSIGND    Packed SIGN
PSIGNW    Packed SIGN
PSLLD    Shift Packed Data Left Logical
PSLLDQ    Shift Double Quadword Left Logical
PSLLQ    Shift Packed Data Left Logical
PSLLW    Shift Packed Data Left Logical
PSRAD    Shift Packed Data Right Arithmetic
PSRAQ    Shift Packed Data Right Arithmetic
PSRAW    Shift Packed Data Right Arithmetic
PSRLD    Shift Packed Data Right Logical
PSRLDQ    Shift Double Quadword Right Logical
PSRLQ    Shift Packed Data Right Logical
PSRLW    Shift Packed Data Right Logical
PSUBB    Subtract Packed Integers
PSUBD    Subtract Packed Integers
PSUBQ    Subtract Packed Quadword Integers
PSUBSB    Subtract Packed Signed Integers With Signed Saturation
PSUBSW    Subtract Packed Signed Integers With Signed Saturation
PSUBUSB    Subtract Packed Unsigned Integers With Unsigned Saturation
PSUBUSW    Subtract Packed Unsigned Integers With Unsigned Saturation
PSUBW    Subtract Packed Integers
PTEST    Logical Compare
PTWRITE    Write Data to a Processor Trace Packet
PUNPCKHBW    Unpack High Data
PUNPCKHDQ    Unpack High Data
PUNPCKHQDQ    Unpack High Data
PUNPCKHWD    Unpack High Data
PUNPCKLBW    Unpack Low Data
PUNPCKLDQ    Unpack Low Data
PUNPCKLQDQ    Unpack Low Data
PUNPCKLWD    Unpack Low Data
PUSH    Push Word, Doubleword, or Quadword Onto the Stack
PUSHA    Push All General-Purpose Registers
PUSHAD    Push All General-Purpose Registers
PUSHF    Push EFLAGS Register Onto the Stack
PUSHFD    Push EFLAGS Register Onto the Stack
PUSHFQ    Push EFLAGS Register Onto the Stack
PXOR    Logical Exclusive OR
RCL    Rotate
RCPPS    Compute Reciprocals of Packed Single Precision Floating-Point Values
RCPSS    Compute Reciprocal of Scalar Single Precision Floating-Point Values
RCR    Rotate
RDFSBASE    Read FS/GS Segment Base
RDGSBASE    Read FS/GS Segment Base
RDMSR    Read From Model Specific Register
RDPID    Read Processor ID
RDPKRU    Read Protection Key Rights for User Pages
RDPMC    Read Performance-Monitoring Counters
RDRAND    Read Random Number
RDSEED    Read Random SEED
RDSSPD    Read Shadow Stack Pointer
RDSSPQ    Read Shadow Stack Pointer
RDTSC    Read Time-Stamp Counter
RDTSCP    Read Time-Stamp Counter and Processor ID
REP    Repeat String Operation Prefix
REPE    Repeat String Operation Prefix
REPNE    Repeat String Operation Prefix
REPNZ    Repeat String Operation Prefix
REPZ    Repeat String Operation Prefix
RET    Return From Procedure
ROL    Rotate
ROR    Rotate
RORX    Rotate Right Logical Without Affecting Flags
ROUNDPD    Round Packed Double Precision Floating-Point Values
ROUNDPS    Round Packed Single Precision Floating-Point Values
ROUNDSD    Round Scalar Double Precision Floating-Point Values
ROUNDSS    Round Scalar Single Precision Floating-Point Values
RSM    Resume From System Management Mode
RSQRTPS    Compute Reciprocals of Square Roots of Packed Single Precision Floating-PointValues
RSQRTSS    Compute Reciprocal of Square Root of Scalar Single Precision Floating-Point Value
RSTORSSP    Restore Saved Shadow Stack Pointer
SAHF    Store AH Into Flags
SAL    Shift
SAR    Shift
SARX    Shift Without Affecting Flags
SAVEPREVSSP    Save Previous Shadow Stack Pointer
SBB    Integer Subtraction With Borrow
SCAS    Scan String
SCASB    Scan String
SCASD    Scan String
SCASW    Scan String
SENDUIPI    Send User Interprocessor Interrupt
SERIALIZE    Serialize Instruction Execution
SETSSBSY    Mark Shadow Stack Busy
SETcc    Set Byte on Condition
SFENCE    Store Fence
SGDT    Store Global Descriptor Table Register
SHA1MSG1    Perform an Intermediate Calculation for the Next Four SHA1 Message Dwords
SHA1MSG2    Perform a Final Calculation for the Next Four SHA1 Message Dwords
SHA1NEXTE    Calculate SHA1 State Variable E After Four Rounds
SHA1RNDS4    Perform Four Rounds of SHA1 Operation
SHA256MSG1    Perform an Intermediate Calculation for the Next Four SHA256 MessageDwords
SHA256MSG2    Perform a Final Calculation for the Next Four SHA256 Message Dwords
SHA256RNDS2    Perform Two Rounds of SHA256 Operation
SHL    Shift
SHLD    Double Precision Shift Left
SHLX    Shift Without Affecting Flags
SHR    Shift
SHRD    Double Precision Shift Right
SHRX    Shift Without Affecting Flags
SHUFPD    Packed Interleave Shuffle of Pairs of Double Precision Floating-Point Values
SHUFPS    Packed Interleave Shuffle of Quadruplets of Single Precision Floating-Point Values
SIDT    Store Interrupt Descriptor Table Register
SLDT    Store Local Descriptor Table Register
SMSW    Store Machine Status Word
SQRTPD    Square Root of Double Precision Floating-Point Values
SQRTPS    Square Root of Single Precision Floating-Point Values
SQRTSD    Compute Square Root of Scalar Double Precision Floating-Point Value
SQRTSS    Compute Square Root of Scalar Single Precision Value
STAC    Set AC Flag in EFLAGS Register
STC    Set Carry Flag
STD    Set Direction Flag
STI    Set Interrupt Flag
STMXCSR    Store MXCSR Register State
STOS    Store String
STOSB    Store String
STOSD    Store String
STOSQ    Store String
STOSW    Store String
STR    Store Task Register
STTILECFG    Store Tile Configuration
STUI    Set User Interrupt Flag
SUB    Subtract
SUBPD    Subtract Packed Double Precision Floating-Point Values
SUBPS    Subtract Packed Single Precision Floating-Point Values
SUBSD    Subtract Scalar Double Precision Floating-Point Value
SUBSS    Subtract Scalar Single Precision Floating-Point Value
SWAPGS    Swap GS Base Register
SYSCALL    Fast System Call
SYSENTER    Fast System Call
SYSEXIT    Fast Return from Fast System Call
SYSRET    Return From Fast System Call
TDPBF16PS    Dot Product of BF16 Tiles Accumulated into Packed Single Precision Tile
TDPBSSD    Dot Product of Signed/Unsigned Bytes with DwordAccumulation
TDPBSUD    Dot Product of Signed/Unsigned Bytes with DwordAccumulation
TDPBUSD    Dot Product of Signed/Unsigned Bytes with DwordAccumulation
